"AnimalName","numberOfAnimals","AnimalType"
"Bella",106,"Cat"
"Charlie",72,"Cat"
"Max",58,"Cat"
"Molly",56,"Cat"
"Mia",54,"Cat"
"Missy",53,"Cat"
"Smokey",51,"Cat"
"Oscar",50,"Cat"
"Misty",49,"Cat"
"Coco",49,"Cat"
"Simba",47,"Cat"
"Milo",43,"Cat"
"Monty",39,"Cat"
"Rosie",39,"Cat"
"Tigger",38,"Cat"
"Chloe",37,"Cat"
"Jasper",36,"Cat"
"Luna",36,"Cat"
"Lucy",35,"Cat"
"Tiger",33,"Cat"
"Lily",33,"Cat"
"Millie",33,"Cat"
"Kitty",32,"Cat"
"Shadow",32,"Cat"
"Lilly",29,"Cat"
"Leo",29,"Cat"
"Felix",29,"Cat"
"Sooty",28,"Cat"
"Ruby",28,"Cat"
"Willow",28,"Cat"
"Cleo",28,"Cat"
"Daisy",27,"Cat"
"Harry",27,"Cat"
"Frankie",26,"Cat"
"Gizmo",26,"Cat"
"Buddy",26,"Cat"
"Lulu",26,"Cat"
"Ziggy",24,"Cat"
"Tilly",24,"Cat"
"Pepper",23,"Cat"
"Angel",23,"Cat"
"Milly",23,"Cat"
"Ollie",23,"Cat"
"Billy",22,"Cat"
"Thomas",21,"Cat"
"Tom",21,"Cat"
"Oliver",21,"Cat"
"Loki",21,"Cat"
"Zoe",20,"Cat"
"Maggie",20,"Cat"
"Sophie",20,"Cat"
"Puss",20,"Cat"
"Poppy",20,"Cat"
"Lola",20,"Cat"
"Storm",20,"Cat"
"Smudge",19,"Cat"
"Dusty",19,"Cat"
"Ginger",19,"Cat"
"Lucky",19,"Cat"
"Henry",19,"Cat"
"Boots",19,"Cat"
"Teddy",19,"Cat"
"Alfie",18,"Cat"
"Jack",18,"Cat"
"Nala",18,"Cat"
"Sox",18,"Cat"
"Roxy",18,"Cat"
"Pixie",18,"Cat"
"Sam",17,"Cat"
"Socks",17,"Cat"
"Jinx",17,"Cat"
"Cookie",17,"Cat"
"Snowy",17,"Cat"
"Mittens",17,"Cat"
"Ninja",17,"Cat"
"Toby",16,"Cat"
"Holly",16,"Cat"
"Ebony",16,"Cat"
"Bob",16,"Cat"
"Tia",16,"Cat"
"George",16,"Cat"
"Unknown",16,"Cat"
"Bonnie",15,"Cat"
"Sammy",15,"Cat"
"Princess",15,"Cat"
"Archie",15,"Cat"
"Belle",15,"Cat"
"Casper",14,"Cat"
"Matilda",14,"Cat"
"Penny",14,"Cat"
"Tommy",14,"Cat"
"Dexter",14,"Cat"
"Ellie",13,"Cat"
"Chester",13,"Cat"
"Peppa",13,"Cat"
"Pebbles",13,"Cat"
"Gypsy",13,"Cat"
"Tinkerbell",12,"Cat"
"Ella",12,"Cat"
"Minnie",12,"Cat"
"Dash",12,"Cat"
"Fluffy",12,"Cat"
"Bandit",12,"Cat"
"Benny",12,"Cat"
"Merlin",12,"Cat"
"Pumpkin",12,"Cat"
"Harley",12,"Cat"
"Hugo",12,"Cat"
"Ivy",12,"Cat"
"Timmy",11,"Cat"
"Oreo",11,"Cat"
"Bailey",11,"Cat"
"Honey",11,"Cat"
"Phoebe",11,"Cat"
"Cassie",11,"Cat"
"Polly",11,"Cat"
"Cleopatra",11,"Cat"
"Possum",11,"Cat"
"Piper",11,"Cat"
"Louie",11,"Cat"
"Suki",11,"Cat"
"Eddie",11,"Cat"
"pippa",11,"Cat"
"Mishka",11,"Cat"
"Cuddles",11,"Cat"
"Blackie",10,"Cat"
"Bear",10,"Cat"
"Bundy",10,"Cat"
"Sasha",10,"Cat"
"Kimba",10,"Cat"
"Skittles",10,"Cat"
"Mika",10,"Cat"
"Georgie",10,"Cat"
"Barney",10,"Cat"
"Indy",10,"Cat"
"Winston",10,"Cat"
"Sunny",10,"Cat"
"Romeo",10,"Cat"
"Marley",10,"Cat"
"Sparkles",10,"Cat"
"Gracie",10,"Cat"
"Narla",10,"Cat"
"Jasmine",9,"Cat"
"Jessie",9,"Cat"
"Samantha",9,"Cat"
"Paris",9,"Cat"
"Layla",9,"Cat"
"Clyde",9,"Cat"
"Mouse",9,"Cat"
"Gus",9,"Cat"
"Whiskey",9,"Cat"
"Garfield",9,"Cat"
"Tabitha",9,"Cat"
"Diesel",9,"Cat"
"Salem",9,"Cat"
"Jimmy",9,"Cat"
"Mickey",9,"Cat"
"Louis",9,"Cat"
"Alice",9,"Cat"
"Zelda",9,"Cat"
"Jaffa",8,"Cat"
"Billie",8,"Cat"
"Blue",8,"Cat"
"Crystal",8,"Cat"
"Precious",8,"Cat"
"Chilli",8,"Cat"
"Angus",8,"Cat"
"Ash",8,"Cat"
"Gemma",8,"Cat"
"Sally",8,"Cat"
"Jess",8,"Cat"
"Ben",8,"Cat"
"Emma",8,"Cat"
"Buster",8,"Cat"
"Chino",8,"Cat"
"Jet",8,"Cat"
"Harvey",8,"Cat"
"Flash",8,"Cat"
"Joey",8,"Cat"
"Cosmo",8,"Cat"
"Onyx",8,"Cat"
"Basil",8,"Cat"
"BOBBY",8,"Cat"
"Mimi",8,"Cat"
"Meow",8,"Cat"
"Buttons",8,"Cat"
"Beau",8,"Cat"
"Zeus",8,"Cat"
"Abby",8,"Cat"
"Hamish",7,"Cat"
"Isabella",7,"Cat"
"Bruce",7,"Cat"
"Sebastian",7,"Cat"
"Izzy",7,"Cat"
"Minty",7,"Cat"
"Bentley",7,"Cat"
"Jake",7,"Cat"
"Candy",7,"Cat"
"Kelly",7,"Cat"
"Mocha",7,"Cat"
"Sassy",7,"Cat"
"Cooper",7,"Cat"
"Mango",7,"Cat"
"Lacey",7,"Cat"
"Biscuit",7,"Cat"
"Phoenix",7,"Cat"
"Midnight",7,"Cat"
