"Age","numberOfAnimals","AnimalName"
0,23,"Charlie"
0,20,"Luna"
0,15,"Bella"
0,14,"Bailey"
0,13,"Molly"
0,12,"Max"
0,11,"Rosie"
0,11,"Nala"
0,11,"Ruby"
0,10,"Winston"
0,10,"Coco"
0,9,"Lola"
0,9,"Buddy"
0,9,"Harley"
0,8,"Tilly"
0,8,"Poppy"
0,8,"Koda"
0,8,"Frankie"
0,8,"Lucy"
0,8,"Archie"
0,7,"Gus"
0,7,"Millie"
0,7,"George"
0,7,"Daisy"
0,7,"Willow"
0,7,"Billy"
0,7,"Bear"
0,7,"Duke"
0,6,"Honey"
0,6,"Loki"
0,6,"Marley"
0,6,"Lexi"
0,6,"Milo"
0,6,"Penny"
0,6,"Hugo"
0,6,"Missy"
0,6,"Harvey"
0,5,"Harry"
0,5,"Milly"
0,5,"Ella"
0,5,"Bentley"
0,5,"Lenny"
0,5,"Shadow"
0,5,"Lily"
0,5,"Sunny"
0,5,"Ollie"
0,5,"Stella"
0,5,"Murphy"
0,5,"Teddy"
0,5,"Ellie"
0,5,"Pepper"
0,5,"Roxy"
0,5,"Summer"
0,4,"Rex"
0,4,"Bruno"
0,4,"Henry"
0,4,"Chase"
0,4,"Maximus"
0,4,"Isla"
0,4,"Dusty"
0,4,"Louie"
0,4,"Pippa"
0,4,"Arlo"
0,4,"Diesel"
0,4,"Finn"
0,4,"Leo"
0,4,"Eddie"
0,4,"BENJI"
0,4,"Jax"
0,4,"Indi"
0,4,"Axel"
0,4,"OLIVE"
0,4,"Rocky"
0,4,"Scout"
0,4,"Ari"
0,4,"Piper"
0,4,"Sammy"
0,4,"Louis"
0,4,"Reggie"
0,4,"Baxter"
0,4,"Zara"
0,3,"Rogue"
0,3,"Sid"
0,3,"Zeus"
0,3,"Axle"
0,3,"Zac"
0,3,"Hamish"
0,3,"Rufus"
0,3,"Bindi"
0,3,"Ziggy"
0,3,"Chilli"
0,3,"Lady"
0,3,"Freya"
0,3,"Layla"
0,3,"Jack"
0,3,"Tobi"
0,3,"Theo"
0,3,"Lucky"
0,3,"Banjo"
0,3,"Chico"
0,3,"Odin"
0,3,"Simba"
0,3,"Dexter"
0,3,"Alfie"
0,3,"Tank"
0,3,"Cooper"
0,3,"Jasper"
0,3,"Rusty"
0,3,"Ace"
0,3,"Charlee"
0,3,"Jazz"
0,3,"Hank"
0,3,"SAM"
0,3,"Minnie"
0,3,"Pixie"
0,3,"Tessa"
0,3,"Hunter"
0,3,"Beau"
0,2,"Ghost"
0,2,"Mikey"
0,2,"Boris"
0,2,"Abby"
0,2,"Kevin"
0,2,"Sandy"
0,2,"Kouta"
0,2,"Rocco"
0,2,"Lilly"
0,2,"Arnold"
0,2,"Cleo"
0,2,"Jimmy"
0,2,"Leila"
0,2,"Jaffa"
0,2,"Gizmo"
0,2,"Maverick"
0,2,"Albus"
0,2,"Ned"
0,2,"Tui"
0,2,"Pablo"
0,2,"Dora"
0,2,"Sonny"
0,2,"Xena"
0,2,"Samson"
0,2,"Bohdi"
0,2,"Bodhi"
0,2,"Gracie"
0,2,"Malibu"
0,2,"Monty"
0,2,"Bobbie"
0,2,"Carlos"
0,2,"Angus"
0,2,"Bruce"
0,2,"Sparky"
0,2,"Cassie"
0,2,"MISTY"
0,2,"Alex"
0,2,"Biscuit"
0,2,"Chevy"
0,2,"Charli"
0,2,"Elvis"
0,2,"Macy"
0,2,"Koa"
0,2,"Sadie"
0,2,"Emma"
0,2,"Charlotte"
0,2,"Riley"
0,2,"Zoe"
0,2,"Gypsy"
